t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
0.8608,joint,0.008426,0.000000,0.000000,0.000000,0.000000,0.000000,1.999929,0.016852,0.000000,1.999929,0.016852,0.000000
0.8706,joint,0.008702,0.000000,0.000000,0.000000,0.000000,0.000000,1.999924,0.017403,0.000000,1.999924,0.017403,0.000000
0.8811,joint,0.009001,0.000000,0.000000,0.000000,0.000000,0.000000,1.999919,0.018002,0.000000,1.999919,0.018002,0.000000
0.8908,joint,0.009282,0.000000,0.000000,0.000000,0.000000,0.000000,1.999914,0.018563,0.000000,1.999914,0.018563,0.000000
0.9010,joint,0.009585,0.000000,0.000000,0.000000,0.000000,0.000000,1.999908,0.019169,0.000000,1.999908,0.019169,0.000000
0.9106,joint,0.009876,0.000000,0.000000,0.000000,0.000000,0.000000,1.999902,0.019751,0.000000,1.999902,0.019751,0.000000
0.9207,joint,0.010186,0.000000,0.000000,0.000000,0.000000,0.000000,1.999896,0.020371,0.000000,1.999896,0.020371,0.000000
0.9309,joint,0.010506,0.000000,0.000000,0.000000,0.000000,0.000000,1.999890,0.021012,0.000000,1.999890,0.021012,0.000000
0.9423,joint,0.010873,0.000000,0.000000,0.000000,0.000000,0.000000,1.999882,0.021746,0.000000,1.999882,0.021746,0.000000
0.9506,joint,0.011144,0.000000,0.000000,0.000000,0.000000,0.000000,1.999876,0.022288,0.000000,1.999876,0.022288,0.000000
0.9620,joint,0.011523,0.000000,0.000000,0.000000,0.000000,0.000000,1.999867,0.023045,0.000000,1.999867,0.023045,0.000000
0.9707,joint,0.011817,0.000000,0.000000,0.000000,0.000000,0.000000,1.999860,0.023634,0.000000,1.999860,0.023634,0.000000
0.9819,joint,0.012201,0.000000,0.000000,0.000000,0.000000,0.000000,1.999851,0.024402,0.000000,1.999851,0.024402,0.000000
0.9908,joint,0.012513,0.000000,0.000000,0.000000,0.000000,0.000000,1.999843,0.025026,0.000000,1.999843,0.025026,0.000000
1.0009,joint,0.012876,0.000000,0.000000,0.000000,0.000000,0.000000,1.999834,0.025751,0.000000,1.999834,0.025751,0.000000
